# should be updated to match up with the definitions in CMakeLists.txt
tag_name,tag_value,msg_id_type
LOG_HEAD_INDEX_UDL_START,10000,query_id
LOG_HEAD_INDEX_LOADING_START,10001,query_id
LOG_HEAD_INDEX_LOADING_END,10002,query_id
LOG_HEAD_INDEX_DESERIALIZE_START,10003,query_id
LOG_HEAD_INDEX_DESERIALIZE_END,10004,query_id
LOG_HEAD_INDEX_SEARCH_START,10005,query_id
LOG_HEAD_INDEX_SEARCH_END,10006,query_id
LOG_HEAD_INDEX_DETERMINE_CAND_Q_START,10007,query_id
LOG_HEAD_INDEX_DETERMINE_CAND_Q_END,10008,query_id
LOG_HEAD_INDEX_UDL_END,10009,query_id
LOG_GLOBAL_INDEX_UDL_START,20001,query_id
LOG_GLOBAL_INDEX_UDL_END,20002,query_id
LOG_GLOBAL_INDEX_LOADING_START,20010,query_id
LOG_GLOBAL_INDEX_LOADING_END,20011,query_id
LOG_GLOBAL_INDEX_COMPUTE_QUERY_START,20020,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_QUERY_END,20021,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_START,20030,query_id
LOG_GLOBAL_INDEX_SEARCH_END,20031,query_id
LOG_GLOBAL_INDEX_COMPUTE_QUERY_QUEUE_PUSHED,20040,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_GET_SCRATCH_START,20041,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_GET_SCRATCH_END,20042,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_PREP_QUERY_START,20050,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_PREP_QUERY_END,20051,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_READ_START,20060,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_READ_END,20061,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_CALC_START,20070,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_CALC_END,20071,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_GET_SCRATCH_START,20080,query_id
LOG_GLOBAL_INDEX_SEARCH_GET_SCRATCH_END,20081,query_id
LOG_GLOBAL_INDEX_SEARCH_PREP_QUERY_START,20090,query_id
LOG_GLOBAL_INDEX_SEARCH_PREP_QUERY_END,20091,query_id
LOG_GLOBAL_INDEX_SEARCH_INIT_DISTANCES_START,20100,query_id
LOG_GLOBAL_INDEX_SEARCH_INIT_DISTANCES_END,20101,query_id
LOG_GLOBAL_INDEX_SEARCH_SEARCH_START,20110,query_id
LOG_GLOBAL_INDEX_SEARCH_SEARCH_END,20111,query_id
LOG_GLOBAL_INDEX_SEARCH_COMPUTE_SEND,20120,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_COMPUTE_RECEIVE,20121,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_READ_START,20130,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_READ_END,20131,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_COMPUTE_DIST_START,20140,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_COMPUTE_DIST_END,20141,query_id_and_node_id
LOG_GLOBAL_INDEX_BATCH_DESERIALIZE_START,20150,batch_id
LOG_GLOBAL_INDEX_BATCH_DESERIALIZE_END,20151,batch_id
LOG_GLOBAL_INDEX_BATCH_SEND_START,20160,batch_id
LOG_GLOBAL_INDEX_BATCH_SEND_END,20161,batch_id
LOG_GLOBAL_INDEX_BATCH_PREP_START,20170,batch_id
LOG_GLOBAL_INDEX_BATCH_PREP_END,20171,batch_id
LOG_GLOBAL_INDEX_BATCH_SERIALIZE_START,20172,batch_id
LOG_GLOBAL_INDEX_BATCH_SERIALIZE_END,20173,batch_id
LOG_GLOBAL_INDEX_COMPUTE_RESULT_PUSH_TO_BATCHING_START,20180,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_RESULT_PUSH_TO_BATCHING_END,20181,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_RESULT_PUSH_BATCHER,20200,query_id_and_node_id
LOG_GLOBAL_INDEX_COMPUTE_QUERY_PUSH_BATCHER,20201,query_id_and_node_id
LOG_GLOBAL_INDEX_BATCHING_TRANSFER_MESSAGES_START,20190,msg_id
LOG_GLOBAL_INDEX_BATCHING_TRANSFER_MESSAGES_END,20191,msg_id
LOG_GLOBAL_INDEX_SEARCH_STEP_START,20210,query_id_and_node_id
LOG_GLOBAL_INDEX_SEARCH_STEP_END,20211,query_id_and_node_id

# everything with prefix log_head_index has msg_id that is the query_id,
# no need to do any fancy bit manipulation stuff

# LOG_GLOBAL_INDEX_UDL_START
# LOG_GLOBAL_INDEX_LOADING_START
# LOG_GLOBAL_INDEX_LOADING_END
# LOG_GLOBAL_INDEX_COMPUTE_START
# LOG_GLOBAL_INDEX_COMPUTE_END
# LOG_GLOBAL_INDEX_SEARCH_START
# LOG_GLOBAL_INDEX_SEARCH_END
# msg_id for these are all query_id

# everything with prefix LOG_GLOBAL_INDEX_COMPUTE has msg_id
# ((uint64_t)query_id) << 32 | node_id
# node_id is the node that is requested to do compute with

# LOG_GLOBAL_INDEX_SEARCH_GET_SCRATCH_START
# LOG_GLOBAL_INDEX_SEARCH_GET_SCRATCH_END
# LOG_GLOBAL_INDEX_SEARCH_PREP_QUERY_START
# LOG_GLOBAL_INDEX_SEARCH_PREP_QUERY_END
# LOG_GLOBAL_INDEX_SEARCH_INIT_DISTANCES_START
# LOG_GLOBAL_INDEX_SEARCH_INIT_DISTANCES_END
# LOG_GLOBAL_INDEX_SEARCH_BEGIN_SEARCH
# LOG_GLOBAL_INDEX_SEARCH_END_SEARCH
# these all have msg_id which is query_id


# LOG_GLOBAL_INDEX_SEARCH_SEN_DCOMPUTE,20120
# LOG_GLOBAL_INDEX_SEARCH_RECEIVE_COMPUTE,20121
# LOG_GLOBAL_INDEX_SEARCH_READ_START,20130
# LOG_GLOBAL_INDEX_SEARCH_READ_END,20131
# LOG_GLOBAL_INDEX_SEARCH_COMPUTE_DIST_START,20140
# LOG_GLOBAL_INDEX_SEARCH_COMPUTE_DIST_END,20141
# msg_id: ((uint64_t)query_id) << 32 | node_id

# anything serialization related will have batch ids
# anything batch related will have msg_id that is the batch_id


